,PLZ,Venue_Name,Category,Latitude,Longitude,Address,Distance
443,60329,dm-drogerie markt,Drugstore,50.1075803,8.6662591,"Kaiserstraße 75, 60329 Frankfurt am Main",9
444,60329,Mainufer,Waterfront,50.106267532738286,8.674070835113525,"Untermainkai, 60594 Frankfurt am Main",573
445,60329,Aloha Poke,Restaurant,50.1087724,8.66909221,"Kaiserstr. 48, 60329 Frankfurt am Main",233
446,60329,Roomers,Hotel,50.104598835092546,8.666686713695526,"Gutleutstr. 85, 60329 Frankfurt am Main",340
447,60329,Augenblick Kaffee & Co,Café,50.11006671867676,8.661992941681802,"Mainzer Landstr. 65, 60329 Frankfurt am Main",410
448,60329,Le Méridien Frankfurt,Hotel,50.105573,8.666769,"Wiesenhuettenplatz 38, 60329 Frankfurt am Main",233
449,60329,25hours Hotel Frankfurt The Trip,Hotel,50.109415581630515,8.663022906891683,"Niddastr. 58, 60329 Frankfurt am Main",307
450,60385,Morcolade,Café,50.12297396459732,8.70562167943558,Frankfurt am Main,211
451,60385,Ciro il Lattaio,Italian Restaurant,50.12235448698481,8.699951096733319,"Berger Str. 89, 60316 Frankfurt am Main",210
452,60385,Ginkgo,Restaurant,50.12198806992871,8.699230240877776,"Berger Str. 81, 60316 Frankfurt am Main",262
453,60385,Heroes Premium Burgers,Burger Joint,50.12359316199978,8.699743634971707,"Leibnizstr. 13 (Heidestr.), 60316 Frankfurt am Main",270
454,60385,Destino,Tapas Restaurant,50.12203279028859,8.702842031252978,"Habsburgerallee 9, 60385 Frankfurt am Main",23
455,60385,Sonamu (소나무),Korean Restaurant,50.12518832818083,8.70613619108301,"Berger Str. 184, 60385 Frankfurt am Main",401
456,60385,Sindam Bistro & Cafe,Falafel Restaurant,50.12487198528814,8.705395323846446,"Bergerstr. 170 60385, Frankfurt am Main",343
457,60385,Best Worscht in Town,Currywurst Joint,50.12135037683177,8.697869123580963,"Berger Str. 80, 60316 Frankfurt am Main",371
458,60385,Picknick Café Bar,Café,50.1254271209023,8.707410588142626,"Spessartstr. 2 (Mainkurstr.), 60385 Frankfurt am Main",479
459,60385,Tischlein Deck Dich,Modern European Restaurant,50.122865,8.70083,"Berger Straße 99, 60316 Frankfurt am Main",162
460,60385,Kleines Café Schneider,Café,50.12235443310444,8.699027277297548,"Heideplatz 1, 60316 Frankfurt am Main",276
461,60385,PRIME TIME fitness 5,Gym / Fitness Center,50.12477367408804,8.704389271074767,"Berger Straße 147, 60385 Frankfurt am Main",301
462,60385,Mousonturm,Performing Arts Venue,50.11925730187881,8.698865175247192,"Waldschmidtstr. 4, 60316 Frankfurt am Main",439
463,60385,Das Nord²,Bar,50.12004567694415,8.698873500481893,"Sandweg 64, 60316 Frankfurt am Main",376
464,60385,Café Wacker,Café,50.125706,8.706824,"Berger Str. 185, 60385 Frankfurt am Main",477
